SimNum,Stage,Scenario,Model,Cost
28,13,3.0,Expected,0.0
28,14,4.0,Expected,0.1
28,15,4.0,Expected,0.1
28,16,5.0,Expected,0.2
28,17,5.0,Expected,0.0
28,18,5.0,Expected,0.0
28,19,4.0,Expected,0.6
28,20,5.0,Expected,0.2
28,21,3.0,Expected,0.0
28,22,4.0,Expected,0.1
28,23,5.0,Expected,0.2
28,24,3.0,Expected,0.0
29,1,5.0,Expected,0.4
29,2,5.0,Expected,0.4
29,3,2.0,Expected,0.1
29,4,3.0,Expected,0.2
29,5,3.0,Expected,0.2
29,6,5.0,Expected,0.1
29,7,3.0,Expected,0.4
29,8,3.0,Expected,0.3
29,9,2.0,Expected,0.2
29,10,3.0,Expected,0.0
29,11,2.0,Expected,0.3
29,12,3.0,Expected,0.0
29,13,5.0,Expected,0.2
29,14,3.0,Expected,0.0
29,15,4.0,Expected,0.1
29,16,3.0,Expected,0.0
29,17,3.0,Expected,0.8
29,18,3.0,Expected,1.0
29,19,3.0,Expected,1.2
29,20,4.0,Expected,0.1
29,21,2.0,Expected,0.4
29,22,5.0,Expected,0.2
29,23,4.0,Expected,0.1
29,24,2.0,Expected,0.3
30,1,5.0,Expected,0.4
30,2,3.0,Expected,0.2
30,3,5.0,Expected,0.4
30,4,5.0,Expected,0.4
30,5,3.0,Expected,0.2
30,6,5.0,Expected,0.1
30,7,3.0,Expected,0.4
30,8,2.0,Expected,0.6
30,9,3.0,Expected,0.0
30,10,4.0,Expected,0.1
30,11,3.0,Expected,0.0
30,12,4.0,Expected,0.1
30,13,5.0,Expected,0.2
30,14,4.0,Expected,0.1
30,15,3.0,Expected,0.0
30,16,2.0,Expected,0.2
30,17,2.0,Expected,1.2000000000000002
30,18,3.0,Expected,1.0
30,19,4.0,Expected,0.6
30,20,5.0,Expected,0.2
30,21,4.0,Expected,0.1
30,22,3.0,Expected,0.0
30,23,4.0,Expected,0.1
30,24,5.0,Expected,0.2
31,1,3.0,Expected,0.2
31,2,4.0,Expected,0.30000000000000004
31,3,3.0,Expected,0.2
31,4,4.0,Expected,0.30000000000000004
31,5,4.0,Expected,0.30000000000000004
