SimNum,Stage,Scenario,Demand,Wind,c_DA,Model
10,8,4.0,4.0,4.0,0.0,Expected
10,9,3.0,3.0,3.0,0.0,Expected
10,10,5.0,3.0,5.0,0.0,Expected
10,11,3.0,3.0,3.0,0.0,Expected
10,12,2.0,3.0,2.0,0.0,Expected
10,13,3.0,3.0,3.0,0.0,Expected
10,14,4.0,3.0,4.0,0.0,Expected
10,15,5.0,3.0,5.0,0.0,Expected
10,16,5.0,3.0,5.0,0.0,Expected
10,17,4.0,5.0,4.0,0.0,Expected
10,18,5.0,5.0,5.0,0.0,Expected
10,19,5.0,5.0,5.0,0.0,Expected
10,20,3.0,3.0,3.0,0.0,Expected
10,21,3.0,3.0,3.0,0.0,Expected
10,22,2.0,3.0,2.0,0.0,Expected
10,23,2.0,3.0,2.0,0.0,Expected
10,24,3.0,3.0,3.0,0.0,Expected
11,1,5.0,1.0,5.0,0.0,Expected
11,2,4.0,1.0,4.0,0.0,Expected
11,3,4.0,1.0,4.0,0.0,Expected
11,4,4.0,1.0,4.0,0.0,Expected
11,5,3.0,1.0,3.0,0.0,Expected
11,6,4.0,4.0,4.0,0.0,Expected
11,7,5.0,4.0,5.0,0.0,Expected
11,8,3.0,4.0,3.0,0.0,Expected
11,9,2.0,3.0,2.0,0.0,Expected
11,10,5.0,3.0,5.0,0.0,Expected
11,11,4.0,3.0,4.0,0.0,Expected
11,12,2.0,3.0,2.0,0.0,Expected
11,13,4.0,3.0,4.0,0.0,Expected
11,14,3.0,3.0,3.0,0.0,Expected
11,15,2.0,3.0,2.0,0.0,Expected
11,16,3.0,3.0,3.0,0.0,Expected
11,17,3.0,5.0,3.0,0.0,Expected
11,18,3.0,5.0,3.0,0.0,Expected
11,19,3.0,5.0,3.0,0.0,Expected
11,20,2.0,3.0,2.0,0.0,Expected
11,21,4.0,3.0,4.0,0.0,Expected
11,22,5.0,3.0,5.0,0.0,Expected
11,23,3.0,3.0,3.0,0.0,Expected
11,24,4.0,3.0,4.0,0.0,Expected
12,1,2.0,1.0,2.0,0.0,Expected
12,2,5.0,1.0,5.0,0.0,Expected
12,3,5.0,1.0,5.0,0.0,Expected
12,4,5.0,1.0,5.0,0.0,Expected
12,5,5.0,1.0,5.0,0.0,Expected
12,6,3.0,4.0,3.0,0.0,Expected
12,7,4.0,4.0,4.0,0.0,Expected
12,8,5.0,4.0,5.0,0.0,Expected
12,9,4.0,3.0,4.0,0.0,Expected
12,10,5.0,3.0,5.0,0.0,Expected
12,11,3.0,3.0,3.0,0.0,Expected
12,12,3.0,3.0,3.0,0.0,Expected
12,13,2.0,3.0,2.0,0.0,Expected
12,14,3.0,3.0,3.0,0.0,Expected
12,15,4.0,3.0,4.0,0.0,Expected
12,16,5.0,3.0,5.0,0.0,Expected
12,17,5.0,5.0,5.0,0.0,Expected
12,18,5.0,5.0,5.0,0.0,Expected
12,19,5.0,5.0,5.0,0.0,Expected
12,20,2.0,3.0,2.0,0.0,Expected
12,21,4.0,3.0,4.0,0.0,Expected
12,22,3.0,3.0,3.0,0.0,Expected
12,23,3.0,3.0,3.0,0.0,Expected
12,24,3.0,3.0,3.0,0.0,Expected
13,1,5.0,1.0,5.0,0.0,Expected
13,2,5.0,1.0,5.0,0.0,Expected
13,3,4.0,1.0,4.0,0.0,Expected
13,4,4.0,1.0,4.0,0.0,Expected
13,5,5.0,1.0,5.0,0.0,Expected
13,6,3.0,4.0,3.0,0.0,Expected
13,7,4.0,4.0,4.0,0.0,Expected
13,8,2.0,4.0,2.0,0.0,Expected
13,9,4.0,3.0,4.0,0.0,Expected
13,10,4.0,3.0,4.0,0.0,Expected
13,11,4.0,3.0,4.0,0.0,Expected
13,12,4.0,3.0,4.0,0.0,Expected
13,13,4.0,3.0,4.0,0.0,Expected
13,14,4.0,3.0,4.0,0.0,Expected
13,15,5.0,3.0,5.0,0.0,Expected
13,16,2.0,3.0,2.0,0.0,Expected
13,17,2.0,5.0,2.0,0.0,Expected
13,18,5.0,5.0,5.0,0.0,Expected
13,19,2.0,5.0,2.0,0.0,Expected
13,20,3.0,3.0,3.0,0.0,Expected
13,21,2.0,3.0,2.0,0.0,Expected
13,22,2.0,3.0,2.0,0.0,Expected
13,23,5.0,3.0,5.0,0.0,Expected
13,24,5.0,3.0,5.0,0.0,Expected
14,1,5.0,1.0,5.0,0.0,Expected
14,2,5.0,1.0,5.0,0.0,Expected
14,3,5.0,1.0,5.0,0.0,Expected
14,4,4.0,1.0,4.0,0.0,Expected
14,5,4.0,1.0,4.0,0.0,Expected
14,6,2.0,4.0,2.0,0.0,Expected
14,7,5.0,4.0,5.0,0.0,Expected
14,8,5.0,4.0,5.0,0.0,Expected
14,9,4.0,3.0,4.0,0.0,Expected
14,10,4.0,3.0,4.0,0.0,Expected
14,11,5.0,3.0,5.0,0.0,Expected
14,12,5.0,3.0,5.0,0.0,Expected
14,13,5.0,3.0,5.0,0.0,Expected
14,14,4.0,3.0,4.0,0.0,Expected
14,15,3.0,3.0,3.0,0.0,Expected
14,16,5.0,3.0,5.0,0.0,Expected
14,17,4.0,5.0,4.0,0.0,Expected
14,18,2.0,5.0,2.0,0.0,Expected
14,19,3.0,5.0,3.0,0.0,Expected
14,20,5.0,3.0,5.0,0.0,Expected
14,21,4.0,3.0,4.0,0.0,Expected
14,22,5.0,3.0,5.0,0.0,Expected
14,23,4.0,3.0,4.0,0.0,Expected
14,24,5.0,3.0,5.0,0.0,Expected
15,1,2.0,1.0,2.0,0.0,Expected
15,2,3.0,1.0,3.0,0.0,Expected
15,3,3.0,1.0,3.0,0.0,Expected
15,4,4.0,1.0,4.0,0.0,Expected
15,5,5.0,1.0,5.0,0.0,Expected
15,6,2.0,4.0,2.0,0.0,Expected
15,7,4.0,4.0,4.0,0.0,Expected
15,8,4.0,4.0,4.0,0.0,Expected
15,9,5.0,3.0,5.0,0.0,Expected
15,10,2.0,3.0,2.0,0.0,Expected
15,11,4.0,3.0,4.0,0.0,Expected
15,12,4.0,3.0,4.0,0.0,Expected
15,13,5.0,3.0,5.0,0.0,Expected
15,14,3.0,3.0,3.0,0.0,Expected
15,15,5.0,3.0,5.0,0.0,Expected
15,16,3.0,3.0,3.0,0.0,Expected
15,17,2.0,5.0,2.0,0.0,Expected
15,18,2.0,5.0,2.0,0.0,Expected
15,19,2.0,5.0,2.0,0.0,Expected
15,20,3.0,3.0,3.0,0.0,Expected
15,21,2.0,3.0,2.0,0.0,Expected
15,22,2.0,3.0,2.0,0.0,Expected
15,23,4.0,3.0,4.0,0.0,Expected
15,24,4.0,3.0,4.0,0.0,Expected
16,1,2.0,1.0,2.0,0.0,Expected
16,2,2.0,1.0,2.0,0.0,Expected
16,3,5.0,1.0,5.0,0.0,Expected
16,4,2.0,1.0,2.0,0.0,Expected
16,5,3.0,1.0,3.0,0.0,Expected
16,6,2.0,4.0,2.0,0.0,Expected
16,7,2.0,4.0,2.0,0.0,Expected
16,8,3.0,4.0,3.0,0.0,Expected
16,9,5.0,3.0,5.0,0.0,Expected
16,10,2.0,3.0,2.0,0.0,Expected
16,11,2.0,3.0,2.0,0.0,Expected
16,12,3.0,3.0,3.0,0.0,Expected
16,13,4.0,3.0,4.0,0.0,Expected
16,14,3.0,3.0,3.0,0.0,Expected
16,15,3.0,3.0,3.0,0.0,Expected
16,16,3.0,3.0,3.0,0.0,Expected
16,17,3.0,5.0,3.0,0.0,Expected
16,18,5.0,5.0,5.0,0.0,Expected
16,19,2.0,5.0,2.0,0.0,Expected
16,20,5.0,3.0,5.0,0.0,Expected
16,21,2.0,3.0,2.0,0.0,Expected
16,22,2.0,3.0,2.0,0.0,Expected
16,23,3.0,3.0,3.0,0.0,Expected
16,24,3.0,3.0,3.0,0.0,Expected
17,1,4.0,1.0,4.0,0.0,Expected
17,2,5.0,1.0,5.0,0.0,Expected
17,3,5.0,1.0,5.0,0.0,Expected
17,4,3.0,1.0,3.0,0.0,Expected
17,5,5.0,1.0,5.0,0.0,Expected
17,6,4.0,4.0,4.0,0.0,Expected
17,7,4.0,4.0,4.0,0.0,Expected
17,8,3.0,4.0,3.0,0.0,Expected
17,9,2.0,3.0,2.0,0.0,Expected
17,10,4.0,3.0,4.0,0.0,Expected
17,11,3.0,3.0,3.0,0.0,Expected
17,12,5.0,3.0,5.0,0.0,Expected
17,13,3.0,3.0,3.0,0.0,Expected
17,14,3.0,3.0,3.0,0.0,Expected
17,15,2.0,3.0,2.0,0.0,Expected
17,16,5.0,3.0,5.0,0.0,Expected
17,17,3.0,5.0,3.0,0.0,Expected
17,18,5.0,5.0,5.0,0.0,Expected
17,19,3.0,5.0,3.0,0.0,Expected
17,20,4.0,3.0,4.0,0.0,Expected
17,21,5.0,3.0,5.0,0.0,Expected
17,22,2.0,3.0,2.0,0.0,Expected
17,23,5.0,3.0,5.0,0.0,Expected
17,24,2.0,3.0,2.0,0.0,Expected
18,1,4.0,1.0,4.0,0.0,Expected
18,2,5.0,1.0,5.0,0.0,Expected
18,3,5.0,1.0,5.0,0.0,Expected
18,4,3.0,1.0,3.0,0.0,Expected
18,5,5.0,1.0,5.0,0.0,Expected
18,6,4.0,4.0,4.0,0.0,Expected
18,7,3.0,4.0,3.0,0.0,Expected
18,8,3.0,4.0,3.0,0.0,Expected
18,9,3.0,3.0,3.0,0.0,Expected
18,10,5.0,3.0,5.0,0.0,Expected
18,11,3.0,3.0,3.0,0.0,Expected
18,12,5.0,3.0,5.0,0.0,Expected
18,13,3.0,3.0,3.0,0.0,Expected
18,14,5.0,3.0,5.0,0.0,Expected
18,15,4.0,3.0,4.0,0.0,Expected
18,16,4.0,3.0,4.0,0.0,Expected
18,17,2.0,5.0,2.0,0.0,Expected
18,18,5.0,5.0,5.0,0.0,Expected
18,19,5.0,5.0,5.0,0.0,Expected
18,20,3.0,3.0,3.0,0.0,Expected
18,21,2.0,3.0,2.0,0.0,Expected
18,22,3.0,3.0,3.0,0.0,Expected
18,23,3.0,3.0,3.0,0.0,Expected
18,24,2.0,3.0,2.0,0.0,Expected
19,1,5.0,1.0,5.0,0.0,Expected
19,2,3.0,1.0,3.0,0.0,Expected
19,3,4.0,1.0,4.0,0.0,Expected
19,4,3.0,1.0,3.0,0.0,Expected
19,5,4.0,1.0,4.0,0.0,Expected
19,6,2.0,4.0,2.0,0.0,Expected
19,7,5.0,4.0,5.0,0.0,Expected
19,8,2.0,4.0,2.0,0.0,Expected
19,9,3.0,3.0,3.0,0.0,Expected
19,10,4.0,3.0,4.0,0.0,Expected
19,11,5.0,3.0,5.0,0.0,Expected
19,12,3.0,3.0,3.0,0.0,Expected
19,13,5.0,3.0,5.0,0.0,Expected
19,14,5.0,3.0,5.0,0.0,Expected
19,15,4.0,3.0,4.0,0.0,Expected
19,16,2.0,3.0,2.0,0.0,Expected
19,17,2.0,5.0,2.0,0.0,Expected
19,18,5.0,5.0,5.0,0.0,Expected
19,19,5.0,5.0,5.0,0.0,Expected
19,20,2.0,3.0,2.0,0.0,Expected
19,21,3.0,3.0,3.0,0.0,Expected
19,22,5.0,3.0,5.0,0.0,Expected
19,23,4.0,3.0,4.0,0.0,Expected
19,24,4.0,3.0,4.0,0.0,Expected
20,1,3.0,1.0,3.0,0.0,Expected
20,2,3.0,1.0,3.0,0.0,Expected
20,3,3.0,1.0,3.0,0.0,Expected
20,4,3.0,1.0,3.0,0.0,Expected
20,5,4.0,1.0,4.0,0.0,Expected
20,6,5.0,4.0,5.0,0.0,Expected
20,7,4.0,4.0,4.0,0.0,Expected
20,8,4.0,4.0,4.0,0.0,Expected
20,9,2.0,3.0,2.0,0.0,Expected
20,10,2.0,3.0,2.0,0.0,Expected
20,11,3.0,3.0,3.0,0.0,Expected
20,12,3.0,3.0,3.0,0.0,Expected
20,13,5.0,3.0,5.0,0.0,Expected
20,14,3.0,3.0,3.0,0.0,Expected
20,15,2.0,3.0,2.0,0.0,Expected
20,16,2.0,3.0,2.0,0.0,Expected
20,17,2.0,5.0,2.0,0.0,Expected
20,18,2.0,5.0,2.0,0.0,Expected
20,19,2.0,5.0,2.0,0.0,Expected
20,20,3.0,3.0,3.0,0.0,Expected
20,21,3.0,3.0,3.0,0.0,Expected
20,22,4.0,3.0,4.0,0.0,Expected
20,23,2.0,3.0,2.0,0.0,Expected
20,24,5.0,3.0,5.0,0.0,Expected
21,1,4.0,1.0,4.0,0.0,Expected
21,2,5.0,1.0,5.0,0.0,Expected
21,3,5.0,1.0,5.0,0.0,Expected
21,4,3.0,1.0,3.0,0.0,Expected
21,5,5.0,1.0,5.0,0.0,Expected
21,6,3.0,4.0,3.0,0.0,Expected
21,7,5.0,4.0,5.0,0.0,Expected
21,8,2.0,4.0,2.0,0.0,Expected
21,9,5.0,3.0,5.0,0.0,Expected
21,10,4.0,3.0,4.0,0.0,Expected
21,11,4.0,3.0,4.0,0.0,Expected
21,12,5.0,3.0,5.0,0.0,Expected
21,13,5.0,3.0,5.0,0.0,Expected
21,14,2.0,3.0,2.0,0.0,Expected
21,15,5.0,3.0,5.0,0.0,Expected
21,16,2.0,3.0,2.0,0.0,Expected
21,17,2.0,5.0,2.0,0.0,Expected
21,18,3.0,5.0,3.0,0.0,Expected
21,19,4.0,5.0,4.0,0.0,Expected
21,20,4.0,3.0,4.0,0.0,Expected
21,21,3.0,3.0,3.0,0.0,Expected
21,22,5.0,3.0,5.0,0.0,Expected
21,23,3.0,3.0,3.0,0.0,Expected
21,24,4.0,3.0,4.0,0.0,Expected
22,1,4.0,1.0,4.0,0.0,Expected
22,2,2.0,1.0,2.0,0.0,Expected
22,3,3.0,1.0,3.0,0.0,Expected
22,4,4.0,1.0,4.0,0.0,Expected
22,5,2.0,1.0,2.0,0.0,Expected
22,6,2.0,4.0,2.0,0.0,Expected
22,7,2.0,4.0,2.0,0.0,Expected
22,8,3.0,4.0,3.0,0.0,Expected
22,9,2.0,3.0,2.0,0.0,Expected
22,10,2.0,3.0,2.0,0.0,Expected
22,11,2.0,3.0,2.0,0.0,Expected
22,12,5.0,3.0,5.0,0.0,Expected
22,13,3.0,3.0,3.0,0.0,Expected
22,14,5.0,3.0,5.0,0.0,Expected
22,15,3.0,3.0,3.0,0.0,Expected
22,16,5.0,3.0,5.0,0.0,Expected
22,17,5.0,5.0,5.0,0.0,Expected
22,18,3.0,5.0,3.0,0.0,Expected
22,19,3.0,5.0,3.0,0.0,Expected
22,20,3.0,3.0,3.0,0.0,Expected
22,21,5.0,3.0,5.0,0.0,Expected
22,22,5.0,3.0,5.0,0.0,Expected
22,23,3.0,3.0,3.0,0.0,Expected
22,24,4.0,3.0,4.0,0.0,Expected
23,1,3.0,1.0,3.0,0.0,Expected
23,2,3.0,1.0,3.0,0.0,Expected
23,3,5.0,1.0,5.0,0.0,Expected
23,4,2.0,1.0,2.0,0.0,Expected
23,5,3.0,1.0,3.0,0.0,Expected
23,6,3.0,4.0,3.0,0.0,Expected
23,7,4.0,4.0,4.0,0.0,Expected
23,8,3.0,4.0,3.0,0.0,Expected
23,9,2.0,3.0,2.0,0.0,Expected
23,10,4.0,3.0,4.0,0.0,Expected
23,11,3.0,3.0,3.0,0.0,Expected
23,12,4.0,3.0,4.0,0.0,Expected
23,13,5.0,3.0,5.0,0.0,Expected
23,14,4.0,3.0,4.0,0.0,Expected
23,15,3.0,3.0,3.0,0.0,Expected
23,16,5.0,3.0,5.0,0.0,Expected
23,17,2.0,5.0,2.0,0.0,Expected
23,18,3.0,5.0,3.0,0.0,Expected
23,19,2.0,5.0,2.0,0.0,Expected
23,20,5.0,3.0,5.0,0.0,Expected
23,21,5.0,3.0,5.0,0.0,Expected
23,22,3.0,3.0,3.0,0.0,Expected
23,23,3.0,3.0,3.0,0.0,Expected
23,24,5.0,3.0,5.0,0.0,Expected
24,1,2.0,1.0,2.0,0.0,Expected
24,2,5.0,1.0,5.0,0.0,Expected
24,3,4.0,1.0,4.0,0.0,Expected
24,4,2.0,1.0,2.0,0.0,Expected
24,5,2.0,1.0,2.0,0.0,Expected
24,6,4.0,4.0,4.0,0.0,Expected
24,7,2.0,4.0,2.0,0.0,Expected
24,8,3.0,4.0,3.0,0.0,Expected
24,9,3.0,3.0,3.0,0.0,Expected
24,10,3.0,3.0,3.0,0.0,Expected
24,11,5.0,3.0,5.0,0.0,Expected
24,12,2.0,3.0,2.0,0.0,Expected
24,13,2.0,3.0,2.0,0.0,Expected
24,14,3.0,3.0,3.0,0.0,Expected
24,15,4.0,3.0,4.0,0.0,Expected
24,16,2.0,3.0,2.0,0.0,Expected
24,17,2.0,5.0,2.0,0.0,Expected
24,18,3.0,5.0,3.0,0.0,Expected
24,19,4.0,5.0,4.0,0.0,Expected
24,20,3.0,3.0,3.0,0.0,Expected
24,21,4.0,3.0,4.0,0.0,Expected
24,22,3.0,3.0,3.0,0.0,Expected
24,23,2.0,3.0,2.0,0.0,Expected
24,24,5.0,3.0,5.0,0.0,Expected
25,1,5.0,1.0,5.0,0.0,Expected
25,2,2.0,1.0,2.0,0.0,Expected
